,Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,RNAlater.,avgred,site,LBSP,DIN,avg.red
72,A,8,Recovery,28,5.5,5.5,4.5,0.624,,146.8,Faga'alu,Medium,6.7,NA
73,A,8,Recovery,28,6,6,4.5,0.659,,151,Fagatele,Low,0.3,NA
74,A,8,Recovery,28,6,6,5,0.633,,137.2,Coconut Point,NA,NA,NA
75,A,8,Recovery,28,6,6,5.5,0.636,,99.8,Cannery,High,14.6,NA
76,A,8,Stress,28,5,5,NA,0.631,,101.5,Vatia,Low,4.1,101.5
77,A,8,Stress,28,6,5.5,NA,0.606,,NA,Coconut Point,NA,NA,NA
78,A,8,Stress,28,6,6,NA,0.64,,89.4,Faga'alu,Medium,6.7,NA
79,A,8,Stress,28,6,6,NA,0.669,,99.5,Fagatele,Low,0.3,NA
80,A,8,Stress,28,6,6,NA,0.685,,110.8,Cannery,High,14.6,NA
81,B,1,Recovery,33,5.5,5,3.5,0.612,,188.6,Coconut Point,NA,NA,NA
82,B,1,Recovery,33,5.5,5.5,2.5,0.609,,183.2,Vatia,Low,4.1,183.2
83,B,1,Recovery,33,6,6,2.5,0.614,,243.5,Fagatele,Low,0.3,NA
84,B,1,Recovery,33,6,6,4.5,0.645,,125.4,Cannery,High,14.6,NA
85,B,1,Recovery,33,6,6,5.5,0.649,,142.3,Faga'alu,Medium,6.7,NA
86,B,1,Stress,33,5,5,NA,0.62,,88.3,Vatia,Low,4.1,88.3
87,B,1,Stress,33,5.5,5.5,NA,0.648,,NA,Coconut Point,NA,NA,NA
88,B,1,Stress,33,6,5,NA,0.627,,100.4,Cannery,High,14.6,NA
89,B,1,Stress,33,6,5.5,NA,0.52,,153.1,Faga'alu,Medium,6.7,NA
90,B,1,Stress,33,6,6,NA,0.622,,66.2,Fagatele,Low,0.3,NA
91,B,2,Recovery,33,5.5,5,3.5,0.633,,177.4,Faga'alu,Medium,6.7,NA
92,B,2,Recovery,33,6,5,3.5,0.598,,201.5,Coconut Point,NA,NA,NA
93,B,2,Recovery,33,6,5.5,3.5,0.633,,206.3,Cannery,High,14.6,NA
94,B,2,Recovery,33,6,6,2,0.64,,228.2,Vatia,Low,4.1,228.2
95,B,2,Recovery,33,6,6,2.5,0.645,,211,Fagatele,Low,0.3,NA
96,B,2,Stress,33,5.5,4.5,NA,0.658,,NA,Coconut Point,NA,NA,NA
97,B,2,Stress,33,5.5,5,NA,0.629,,156.7,Faga'alu,Medium,6.7,NA
98,B,2,Stress,33,6,5.5,NA,0.672,,114.5,Cannery,High,14.6,NA
99,B,2,Stress,33,6,6,NA,0.637,,95,Fagatele,Low,0.3,NA
100,B,2,Stress,33,6,6,NA,0.617,,75.3,Vatia,Low,4.1,75.3
101,B,3,Recovery,33,5,3.5,3.5,0.64,,214.8,Coconut Point,NA,NA,NA
102,B,3,Recovery,33,6,5.5,2,0.631,,227.9,Faga'alu,Medium,6.7,NA
103,B,3,Recovery,33,6,6,2,0.654,,237.4,Vatia,Low,4.1,237.4
104,B,3,Recovery,33,6,6,3,0.618,,232.1,Fagatele,Low,0.3,NA
105,B,3,Recovery,33,6,6,5.5,0.633,,149.8,Cannery,High,14.6,NA
106,B,3,Stress,33,5,5,NA,0.634,,153.2,Vatia,Low,4.1,153.2
107,B,3,Stress,33,5.5,4.5,NA,0.629,,NA,Coconut Point,NA,NA,NA
108,B,3,Stress,33,5.5,5.5,NA,0.658,,125.9,Cannery,High,14.6,NA
109,B,3,Stress,33,6,6,NA,0.61,,84,Fagatele,Low,0.3,NA
110,B,3,Stress,33,6,6,NA,0.673,,120.7,Faga'alu,Medium,6.7,NA
111,B,4,Recovery,33,5.5,5.5,3,0.576,,186.5,Vatia,Low,4.1,186.5
112,B,4,Recovery,33,5.5,5.5,3.5,0.645,,230.6,Coconut Point,NA,NA,NA
113,B,4,Recovery,33,6,5.5,4.5,0.586,,193.2,Cannery,High,14.6,NA
114,B,4,Recovery,33,6,6,2,0.662,,227.2,Faga'alu,Medium,6.7,NA
115,B,4,Recovery,33,6,6,4.5,0.612,,214.6,Fagatele,Low,0.3,NA
116,B,4,Stress,33,5.5,5,NA,0.659,,153.7,Faga'alu,Medium,6.7,NA
117,B,4,Stress,33,5.5,5,NA,0.605,,126.6,Vatia,Low,4.1,126.6
118,B,4,Stress,33,6,4.5,NA,0.667,,NA,Coconut Point,NA,NA,NA
119,B,4,Stress,33,6,6,NA,0.668,,98.7,Cannery,High,14.6,NA
120,B,4,Stress,33,6,6,NA,0.637,,94.5,Fagatele,Low,0.3,NA
121,B,5,Recovery,33,5,5,4,0.625,,189,Cannery,High,14.6,NA
122,B,5,Recovery,33,6,5.5,2.5,0.655,,214.5,Vatia,Low,4.1,214.5
123,B,5,Recovery,33,6,6,4.5,0.645,,151.9,Fagatele,Low,0.3,NA
124,B,5,Recovery,33,6,6,4.5,0.613,,149.5,Faga'alu,Medium,6.7,NA
125,B,5,Recovery,33,4.5,4.5,3.5,0.65,,193.9,Coconut Point,NA,NA,NA
126,B,5,Stress,33,5.5,5.5,NA,0.596,,150,Faga'alu,Medium,6.7,NA
127,B,5,Stress,33,6,5.5,NA,0.667,,109.2,Cannery,High,14.6,NA
128,B,5,Stress,33,6,6,NA,0.658,,76.2,Vatia,Low,4.1,76.2
129,B,5,Stress,33,6,6,NA,0.616,,100.3,Fagatele,Low,0.3,NA
130,B,5,Stress,33,4.5,3.5,NA,0.647,,NA,Coconut Point,NA,NA,NA
131,B,6,Recovery,33,5.5,5.5,2.5,0.605,,185.2,Faga'alu,Medium,6.7,NA
132,B,6,Recovery,33,6,5,3.5,0.648,,167.1,Coconut Point,NA,NA,NA
133,B,6,Recovery,33,6,5.5,5,0.61,,164,Vatia,Low,4.1,164
134,B,6,Recovery,33,6,6,4,0.608,,176.8,Fagatele,Low,0.3,NA
135,B,6,Recovery,33,6,6,4.5,0.676,,143.1,Cannery,High,14.6,NA
136,B,6,Stress,33,5,4,NA,0.632,,NA,Coconut Point,NA,NA,NA
137,B,6,Stress,33,6,5,NA,0.667,,145.9,Cannery,High,14.6,NA
138,B,6,Stress,33,6,5.5,NA,0.663,,146,Faga'alu,Medium,6.7,NA
139,B,6,Stress,33,6,6,NA,0.629,,67.3,Fagatele,Low,0.3,NA
140,B,6,Stress,33,6,6,NA,0.664,,60.2,Vatia,Low,4.1,60.2
141,B,7,Recovery,33,5.5,5,2,0.627,,240.2,Vatia,Low,4.1,240.2
142,B,7,Recovery,33,5.5,5.5,4,0.653,,165,Cannery,High,14.6,NA
143,B,7,Recovery,33,6,5.5,1.5,0.666,,213.8,Faga'alu,Medium,6.7,NA
144,B,7,Recovery,33,6,5.5,2.5,0.631,,220.2,Coconut Point,NA,NA,NA
145,B,7,Recovery,33,6,6,4,0.57,,182.6,Fagatele,Low,0.3,NA
146,B,7,Stress,33,5.5,5,NA,0.65,,112.1,Vatia,Low,4.1,112.1
147,B,7,Stress,33,5.5,5,NA,0.646,,154.2,Faga'alu,Medium,6.7,NA
148,B,7,Stress,33,5.5,5.5,NA,0.621,,85.7,Fagatele,Low,0.3,NA
149,B,7,Stress,33,6,5.5,NA,0.633,,NA,Coconut Point,NA,NA,NA
150,B,7,Stress,33,6,6,NA,0.669,,130.1,Cannery,High,14.6,NA
151,B,8,Recovery,33,5,5,2.5,0.644,,200.4,Vatia,Low,4.1,200.4
152,B,8,Recovery,33,5.5,5.5,5,0.63,,104.2,Cannery,High,14.6,NA
153,B,8,Recovery,33,5.5,3.5,3.5,0.557,,186.4,Coconut Point,NA,NA,NA
154,B,8,Recovery,33,6,5,2,0.651,,216.5,Faga'alu,Medium,6.7,NA
155,B,8,Recovery,33,6,6,2.5,0.653,,245.3,Fagatele,Low,0.3,NA
156,B,8,Stress,33,5,3.5,NA,0.588,,NA,Coconut Point,NA,NA,NA
157,B,8,Stress,33,6,5.5,NA,0.651,,127.8,Faga'alu,Medium,6.7,NA
158,B,8,Stress,33,6,6,NA,0.652,,73.7,Cannery,High,14.6,NA
159,B,8,Stress,33,6,6,NA,0.575,,78.4,Vatia,Low,4.1,78.4
160,B,8,Stress,33,6,6,NA,0.634,,82.5,Fagatele,Low,0.3,NA
161,C,1,Recovery,34,5.5,4.5,2,0.677,,208.9,Cannery,High,14.6,NA
162,C,1,Recovery,34,5.5,5,3.5,0.605,,196.5,Faga'alu,Medium,6.7,NA
163,C,1,Recovery,34,5.5,5.5,2.5,0.668,,173.5,Coconut Point,NA,NA,NA
164,C,1,Recovery,34,5.5,5.5,4.5,0.612,,189.2,Vatia,Low,4.1,189.2
165,C,1,Recovery,34,6,6,1.5,0.587,,246.2,Fagatele,Low,0.3,NA
166,C,1,Stress,34,5,4,NA,0.638,,NA,Coconut Point,NA,NA,NA
167,C,1,Stress,34,6,6,NA,0.611,,113.5,Faga'alu,Medium,6.7,NA
168,C,1,Stress,34,6,6,NA,0.638,,101.6,Cannery,High,14.6,NA
169,C,1,Stress,34,6,6,NA,0.66,,106.6,Vatia,Low,4.1,106.6
170,C,1,Stress,34,6,6,NA,0.605,,136,Fagatele,Low,0.3,NA
171,C,2,Recovery,34,5.5,4.5,2,0.656,,229.3,Coconut Point,NA,NA,NA
172,C,2,Recovery,34,6,5.5,3.5,0.611,,212.4,Cannery,High,14.6,NA
173,C,2,Recovery,34,6,6,2.5,0.615,,216.5,Vatia,Low,4.1,216.5
174,C,2,Recovery,34,6,6,2.5,0.629,,241.6,Fagatele,Low,0.3,NA
175,C,2,Recovery,34,3.5,3,2.5,0.524,,208.7,Faga'alu,Medium,6.7,NA
176,C,2,Stress,34,6,5,NA,0.636,,125.1,Faga'alu,Medium,6.7,NA
177,C,2,Stress,34,6,5.5,NA,0.658,,121.6,Cannery,High,14.6,NA
178,C,2,Stress,34,6,5.5,NA,0.661,,NA,Coconut Point,NA,NA,NA
179,C,2,Stress,34,6,6,NA,0.641,,61.5,Vatia,Low,4.1,61.5
180,C,2,Stress,34,6,6,NA,0.594,,111.9,Fagatele,Low,0.3,NA
181,C,3,Recovery,34,5.5,5,3,0.635,,221.5,Vatia,Low,4.1,221.5
182,C,3,Recovery,34,6,5,3,0.628,,182.9,Coconut Point,NA,NA,NA
183,C,3,Recovery,34,6,5,3.5,0.622,,166.4,Faga'alu,Medium,6.7,NA
184,C,3,Recovery,34,6,6,4,0.611,,205.9,Fagatele,Low,0.3,NA
185,C,3,Recovery,34,6,6,4.5,0.671,,145.9,Cannery,High,14.6,NA
186,C,3,Stress,34,5,3.5,NA,0.638,,NA,Coconut Point,NA,NA,NA
187,C,3,Stress,34,5.5,5.5,NA,0.626,,136,Vatia,Low,4.1,136
188,C,3,Stress,34,6,5.5,NA,0.659,,105.8,Cannery,High,14.6,NA
189,C,3,Stress,34,6,5.5,NA,0.603,,122.4,Faga'alu,Medium,6.7,NA
190,C,3,Stress,34,6,6,NA,0.58,,93.6,Fagatele,Low,0.3,NA
191,C,4,Recovery,34,5,4,2,0.615,,205,Faga'alu,Medium,6.7,NA
192,C,4,Recovery,34,5,5,3,0.568,,222.4,Fagatele,Low,0.3,NA
193,C,4,Recovery,34,6,6,2.5,0.659,,213.9,Cannery,High,14.6,NA
194,C,4,Recovery,34,6,6,2.5,0.671,,200.8,Coconut Point,NA,NA,NA
195,C,4,Recovery,34,6,6,3,0.634,,190,Vatia,Low,4.1,190
196,C,4,Stress,34,5,5,NA,0.593,,NA,Coconut Point,NA,NA,NA
197,C,4,Stress,34,5,5,NA,0.62,,151,Vatia,Low,4.1,151
198,C,4,Stress,34,5.5,5,NA,0.629,,156.4,Fagatele,Low,0.3,NA
199,C,4,Stress,34,5.5,5,NA,0.642,,160.2,Faga'alu,Medium,6.7,NA
200,C,4,Stress,34,6,5.5,NA,0.661,,107.5,Cannery,High,14.6,NA
201,C,5,Recovery,34,5,5,2.5,0.638,,194,Coconut Point,NA,NA,NA
202,C,5,Recovery,34,6,5.5,2.5,0.662,,197.8,Vatia,Low,4.1,197.8
203,C,5,Recovery,34,6,6,2.5,0.663,,164.9,Cannery,High,14.6,NA
204,C,5,Recovery,34,6,6,3.5,0.613,,180.6,Faga'alu,Medium,6.7,NA
205,C,5,Recovery,34,6,6,4,0.623,,199.2,Fagatele,Low,0.3,NA
206,C,5,Stress,34,6,5,NA,0.608,,127.6,Faga'alu,Medium,6.7,NA
207,C,5,Stress,34,6,5.5,NA,0.671,,98.8,Cannery,High,14.6,NA
208,C,5,Stress,34,6,6,NA,0.611,,72.2,Vatia,Low,4.1,72.2
209,C,5,Stress,34,6,6,NA,0.609,,95.1,Fagatele,Low,0.3,NA
210,C,5,Stress,34,4.5,4,NA,0.631,,NA,Coconut Point,NA,NA,NA
211,C,6,Recovery,34,5.5,4.5,2,0.641,,220,Cannery,High,14.6,NA
212,C,6,Recovery,34,5.5,5.5,2,0.659,,194.3,Coconut Point,NA,NA,NA
213,C,6,Recovery,34,6,5.5,3,0.624,,190.7,Faga'alu,Medium,6.7,NA
214,C,6,Recovery,34,6,5.5,3,0.646,,233.9,Fagatele,Low,0.3,NA
215,C,6,Recovery,34,6,5.5,4.5,0.657,,168.4,Vatia,Low,4.1,168.4
216,C,6,Stress,34,6,5,NA,0.626,,157.2,Cannery,High,14.6,NA
217,C,6,Stress,34,6,5.5,NA,0.61,,103.9,Vatia,Low,4.1,103.9
218,C,6,Stress,34,6,5.5,NA,0.648,,139.9,Faga'alu,Medium,6.7,NA
219,C,6,Stress,34,6,6,NA,0.621,,74.9,Fagatele,Low,0.3,NA
220,C,6,Stress,34,4.5,5,NA,0.624,,NA,Coconut Point,NA,NA,NA
221,C,7,Recovery,34,6,5.5,2.5,0.594,,222.6,Vatia,Low,4.1,222.6
222,C,7,Recovery,34,6,5.5,3,0.631,,230,Coconut Point,NA,NA,NA
223,C,7,Recovery,34,6,6,3.5,0.669,,207.7,Faga'alu,Medium,6.7,NA
224,C,7,Recovery,34,6,6,4,0.627,,214.3,Fagatele,Low,0.3,NA
225,C,7,Recovery,34,6,6,5.5,0.636,,129.2,Cannery,High,14.6,NA
226,C,7,Stress,34,5,4.5,NA,0.6,,141.1,Vatia,Low,4.1,141.1
227,C,7,Stress,34,5,5,NA,0.619,,169.6,Faga'alu,Medium,6.7,NA
228,C,7,Stress,34,5.5,5.5,NA,0.632,,100.5,Fagatele,Low,0.3,NA
229,C,7,Stress,34,6,5,NA,0.647,,NA,Coconut Point,NA,NA,NA
230,C,7,Stress,34,6,5.5,NA,0.644,,144.6,Cannery,High,14.6,NA
231,C,8,Recovery,34,5.5,5,3.5,0.61,,176.3,Coconut Point,NA,NA,NA
232,C,8,Recovery,34,6,5.5,2.5,0.59,,206.4,Cannery,High,14.6,NA
233,C,8,Recovery,34,6,5.5,4,0.669,,168.4,Vatia,Low,4.1,168.4
234,C,8,Recovery,34,6,6,3,0.621,,190.9,Faga'alu,Medium,6.7,NA
235,C,8,Recovery,34,6,6,4.5,0.625,,201.5,Fagatele,Low,0.3,NA
236,C,8,Stress,34,5.5,5,NA,0.623,,83.2,Vatia,Low,4.1,83.2
237,C,8,Stress,34,6,5.5,NA,0.658,,NA,Coconut Point,NA,NA,NA
238,C,8,Stress,34,6,5.5,NA,0.57,,143.5,Faga'alu,Medium,6.7,NA
239,C,8,Stress,34,6,6,NA,0.628,,84.7,Cannery,High,14.6,NA
240,C,8,Stress,34,6,6,NA,0.597,,112.1,Fagatele,Low,0.3,NA
241,D,1,Recovery,35,5,5.5,2,0.645,,222.5,Vatia,Low,4.1,222.5
242,D,1,Recovery,35,5.5,4.5,1,0.547,,247.1,Fagatele,Low,0.3,NA
243,D,1,Recovery,35,5.5,5,2,0.63,,219.2,Faga'alu,Medium,6.7,NA
244,D,1,Recovery,35,5.5,5.5,2.5,0.655,,205.9,Coconut Point,NA,NA,NA
245,D,1,Recovery,35,6,6,2.5,0.64,,171.9,Cannery,High,14.6,NA
246,D,1,Stress,35,5.5,5,NA,0.644,,153,Faga'alu,Medium,6.7,NA
247,D,1,Stress,35,5.5,5,NA,0.662,,159.9,Cannery,High,14.6,NA
248,D,1,Stress,35,5.5,5.5,NA,0.653,,NA,Coconut Point,NA,NA,NA
249,D,1,Stress,35,6,5.5,NA,0.609,,84.4,Fagatele,Low,0.3,NA
250,D,1,Stress,35,6,6,NA,0.643,,81.4,Vatia,Low,4.1,81.4
251,D,2,Recovery,35,5.5,4,2.5,0.586,,193.9,Faga'alu,Medium,6.7,NA
252,D,2,Recovery,35,6,5,2,0.652,,246.2,Coconut Point,NA,NA,NA
253,D,2,Recovery,35,6,5.5,1.5,0.625,,238.4,Fagatele,Low,0.3,NA
254,D,2,Recovery,35,6,5.5,1.5,0.649,,209.3,Vatia,Low,4.1,209.3
255,D,2,Recovery,35,6,5.5,4.5,0.666,,208.2,Cannery,High,14.6,NA
256,D,2,Stress,35,5.5,4.5,NA,0.647,,155.2,Faga'alu,Medium,6.7,NA
257,D,2,Stress,35,5.5,4.5,NA,0.591,,134.7,Fagatele,Low,0.3,NA
258,D,2,Stress,35,6,5.5,NA,0.628,,143.3,Cannery,High,14.6,NA
259,D,2,Stress,35,6,5.5,NA,0.655,,NA,Coconut Point,NA,NA,NA
260,D,2,Stress,35,6,6,NA,0.63,,97.6,Vatia,Low,4.1,97.6
261,D,3,Recovery,35,5,4,2,0.619,,237.4,Coconut Point,NA,NA,NA
262,D,3,Recovery,35,5.5,5,2.5,0.632,,183,Vatia,Low,4.1,183
263,D,3,Recovery,35,5.5,5.5,2,0.575,,241.1,Fagatele,Low,0.3,NA
264,D,3,Recovery,35,6,5.5,2,0.656,,212.4,Cannery,High,14.6,NA
265,D,3,Recovery,35,6,6,2,0.621,,186.6,Faga'alu,Medium,6.7,NA
266,D,3,Stress,35,5.5,3.5,NA,0.632,,NA,Coconut Point,NA,NA,NA
267,D,3,Stress,35,6,5.5,NA,0.67,,113.9,Cannery,High,14.6,NA
268,D,3,Stress,35,6,5.5,NA,0.62,,116.9,Faga'alu,Medium,6.7,NA
269,D,3,Stress,35,6,6,NA,0.657,,119.5,Vatia,Low,4.1,119.5
270,D,3,Stress,35,6,6,NA,0.598,,107.6,Fagatele,Low,0.3,NA
271,D,4,Recovery,35,5.5,5,2,0.598,,213.1,Vatia,Low,4.1,213.1
272,D,4,Recovery,35,6,4,2,0.625,,207.9,Faga'alu,Medium,6.7,NA
273,D,4,Recovery,35,6,5.5,2,0.667,,223.4,Coconut Point,NA,NA,NA
274,D,4,Recovery,35,6,6,2,0.614,,223.5,Fagatele,Low,0.3,NA
275,D,4,Recovery,35,6,6,4.5,0.653,,150.1,Cannery,High,14.6,NA
276,D,4,Stress,35,5.5,5,NA,0.627,,NA,Coconut Point,NA,NA,NA
277,D,4,Stress,35,5.5,5.5,NA,0.627,,139.1,Vatia,Low,4.1,139.1
278,D,4,Stress,35,6,5,NA,0.65,,136,Faga'alu,Medium,6.7,NA
279,D,4,Stress,35,6,6,NA,0.655,,132,Cannery,High,14.6,NA
280,D,4,Stress,35,6,6,NA,0.554,,125.2,Fagatele,Low,0.3,NA
281,D,5,Recovery,35,5,4.5,2,0.638,,216.8,Coconut Point,NA,NA,NA
282,D,5,Recovery,35,5.5,5.5,2,0.649,,216.1,Vatia,Low,4.1,216.1
283,D,5,Recovery,35,6,5.5,4,0.665,,111,Cannery,High,14.6,NA
284,D,5,Recovery,35,6,6,2,0.601,,203.4,Faga'alu,Medium,6.7,NA
285,D,5,Recovery,35,6,6,4,0.616,,170,Fagatele,Low,0.3,NA
286,D,5,Stress,35,5,4,NA,0.605,,NA,Coconut Point,NA,NA,NA
287,D,5,Stress,35,6,5.5,NA,0.655,,104.7,Vatia,Low,4.1,104.7
288,D,5,Stress,35,6,6,NA,0.64,,133.8,Faga'alu,Medium,6.7,NA
289,D,5,Stress,35,6,6,NA,0.654,,106.5,Cannery,High,14.6,NA
290,D,5,Stress,35,6,6,NA,0.657,,79.2,Fagatele,Low,0.3,NA
291,D,6,Recovery,35,5,5,1.5,0.649,,239.3,Coconut Point,NA,NA,NA
292,D,6,Recovery,35,6,5.5,2,0.654,,192.3,Cannery,High,14.6,NA
293,D,6,Recovery,35,6,5.5,2.5,0.637,,189.6,Faga'alu,Medium,6.7,NA
294,D,6,Recovery,35,6,6,2.5,0.651,,227.3,Fagatele,Low,0.3,NA
295,D,6,Recovery,35,6,6,5,0.647,,135.7,Vatia,Low,4.1,135.7
296,D,6,Stress,35,5,4,NA,0.654,,NA,Coconut Point,NA,NA,NA
297,D,6,Stress,35,5.5,5,NA,0.597,,173.9,Faga'alu,Medium,6.7,NA
298,D,6,Stress,35,6,5.5,NA,0.658,,98.3,Cannery,High,14.6,NA
299,D,6,Stress,35,6,6,NA,0.614,,92.2,Fagatele,Low,0.3,NA
300,D,6,Stress,35,6,6,NA,0.632,,81.9,Vatia,Low,4.1,81.9
301,D,7,Recovery,35,5,5,2,0.647,,231,Vatia,Low,4.1,231
