Tank,Colony,Time.point,Ramp,Coral.Watch.Color1,Coral.Watch.Color2,Coral.Watch.Color3,PAM..Fv.Fm.,Site,LBSP,pop2016,AverageRed
C,1,Recovery,34,6,6,1.5,0.587,Faga'tele,Low,0,246.2
C,1,Stress,34,5,4,NA,0.638,Coconut Point,High,6707,NA
C,1,Stress,34,6,6,NA,0.611,Faga'alu,Medium,910,113.5
C,1,Stress,34,6,6,NA,0.638,Cannery,High,9276,101.6
C,1,Stress,34,6,6,NA,0.66,Vatia,Low,640,106.6
C,1,Stress,34,6,6,NA,0.605,Faga'tele,Low,0,136
C,2,Recovery,34,5.5,4.5,2,0.656,Coconut Point,High,6707,229.3
C,2,Recovery,34,6,5.5,3.5,0.611,Cannery,High,9276,212.4
C,2,Recovery,34,6,6,2.5,0.615,Vatia,Low,640,216.5
C,2,Recovery,34,6,6,2.5,0.629,Faga'tele,Low,0,241.6
C,2,Recovery,34,3.5,3,2.5,0.524,Faga'alu,Medium,910,208.7
C,2,Stress,34,6,5,NA,0.636,Faga'alu,Medium,910,125.1
C,2,Stress,34,6,5.5,NA,0.658,Cannery,High,9276,121.6
C,2,Stress,34,6,5.5,NA,0.661,Coconut Point,High,6707,NA
C,2,Stress,34,6,6,NA,0.641,Vatia,Low,640,61.5
C,2,Stress,34,6,6,NA,0.594,Faga'tele,Low,0,111.9
C,3,Recovery,34,5.5,5,3,0.635,Vatia,Low,640,221.5
C,3,Recovery,34,6,5,3,0.628,Coconut Point,High,6707,182.9
C,3,Recovery,34,6,5,3.5,0.622,Faga'alu,Medium,910,166.4
C,3,Recovery,34,6,6,4,0.611,Faga'tele,Low,0,205.9
C,3,Recovery,34,6,6,4.5,0.671,Cannery,High,9276,145.9
C,3,Stress,34,5,3.5,NA,0.638,Coconut Point,High,6707,NA
C,3,Stress,34,5.5,5.5,NA,0.626,Vatia,Low,640,136
C,3,Stress,34,6,5.5,NA,0.659,Cannery,High,9276,105.8
C,3,Stress,34,6,5.5,NA,0.603,Faga'alu,Medium,910,122.4
C,3,Stress,34,6,6,NA,0.58,Faga'tele,Low,0,93.6
C,4,Recovery,34,5,4,2,0.615,Faga'alu,Medium,910,205
C,4,Recovery,34,5,5,3,0.568,Faga'tele,Low,0,222.4
C,4,Recovery,34,6,6,2.5,0.659,Cannery,High,9276,213.9
C,4,Recovery,34,6,6,2.5,0.671,Coconut Point,High,6707,200.8
C,4,Recovery,34,6,6,3,0.634,Vatia,Low,640,190
C,4,Stress,34,5,5,NA,0.593,Coconut Point,High,6707,NA
C,4,Stress,34,5,5,NA,0.62,Vatia,Low,640,151
C,4,Stress,34,5.5,5,NA,0.629,Faga'tele,Low,0,156.4
C,4,Stress,34,5.5,5,NA,0.642,Faga'alu,Medium,910,160.2
C,4,Stress,34,6,5.5,NA,0.661,Cannery,High,9276,107.5
C,5,Recovery,34,5,5,2.5,0.638,Coconut Point,High,6707,194
C,5,Recovery,34,6,5.5,2.5,0.662,Vatia,Low,640,197.8
C,5,Recovery,34,6,6,2.5,0.663,Cannery,High,9276,164.9
C,5,Recovery,34,6,6,3.5,0.613,Faga'alu,Medium,910,180.6
C,5,Recovery,34,6,6,4,0.623,Faga'tele,Low,0,199.2
C,5,Stress,34,6,5,NA,0.608,Faga'alu,Medium,910,127.6
C,5,Stress,34,6,5.5,NA,0.671,Cannery,High,9276,98.8
C,5,Stress,34,6,6,NA,0.611,Vatia,Low,640,72.2
C,5,Stress,34,6,6,NA,0.609,Faga'tele,Low,0,95.1
C,5,Stress,34,4.5,4,NA,0.631,Coconut Point,High,6707,NA
C,6,Recovery,34,5.5,4.5,2,0.641,Cannery,High,9276,220
C,6,Recovery,34,5.5,5.5,2,0.659,Coconut Point,High,6707,194.3
C,6,Recovery,34,6,5.5,3,0.624,Faga'alu,Medium,910,190.7
C,6,Recovery,34,6,5.5,3,0.646,Faga'tele,Low,0,233.9
C,6,Recovery,34,6,5.5,4.5,0.657,Vatia,Low,640,168.4
C,6,Stress,34,6,5,NA,0.626,Cannery,High,9276,157.2
C,6,Stress,34,6,5.5,NA,0.61,Vatia,Low,640,103.9
C,6,Stress,34,6,5.5,NA,0.648,Faga'alu,Medium,910,139.9
C,6,Stress,34,6,6,NA,0.621,Faga'tele,Low,0,74.9
C,6,Stress,34,4.5,5,NA,0.624,Coconut Point,High,6707,NA
C,7,Recovery,34,6,5.5,2.5,0.594,Vatia,Low,640,222.6
C,7,Recovery,34,6,5.5,3,0.631,Coconut Point,High,6707,230
C,7,Recovery,34,6,6,3.5,0.669,Faga'alu,Medium,910,207.7
C,7,Recovery,34,6,6,4,0.627,Faga'tele,Low,0,214.3
C,7,Recovery,34,6,6,5.5,0.636,Cannery,High,9276,129.2
C,7,Stress,34,5,4.5,NA,0.6,Vatia,Low,640,141.1
C,7,Stress,34,5,5,NA,0.619,Faga'alu,Medium,910,169.6
C,7,Stress,34,5.5,5.5,NA,0.632,Faga'tele,Low,0,100.5
C,7,Stress,34,6,5,NA,0.647,Coconut Point,High,6707,NA
C,7,Stress,34,6,5.5,NA,0.644,Cannery,High,9276,144.6
C,8,Recovery,34,5.5,5,3.5,0.61,Coconut Point,High,6707,176.3
C,8,Recovery,34,6,5.5,2.5,0.59,Cannery,High,9276,206.4
C,8,Recovery,34,6,5.5,4,0.669,Vatia,Low,640,168.4
C,8,Recovery,34,6,6,3,0.621,Faga'alu,Medium,910,190.9
C,8,Recovery,34,6,6,4.5,0.625,Faga'tele,Low,0,201.5
C,8,Stress,34,5.5,5,NA,0.623,Vatia,Low,640,83.2
C,8,Stress,34,6,5.5,NA,0.658,Coconut Point,High,6707,NA
C,8,Stress,34,6,5.5,NA,0.57,Faga'alu,Medium,910,143.5
C,8,Stress,34,6,6,NA,0.628,Cannery,High,9276,84.7
C,8,Stress,34,6,6,NA,0.597,Faga'tele,Low,0,112.1
D,1,Recovery,35,5,5.5,2,0.645,Vatia,Low,640,222.5
D,1,Recovery,35,5.5,4.5,1,0.547,Faga'tele,Low,0,247.1
D,1,Recovery,35,5.5,5,2,0.63,Faga'alu,Medium,910,219.2
D,1,Recovery,35,5.5,5.5,2.5,0.655,Coconut Point,High,6707,205.9
D,1,Recovery,35,6,6,2.5,0.64,Cannery,High,9276,171.9
D,1,Stress,35,5.5,5,NA,0.644,Faga'alu,Medium,910,153
D,1,Stress,35,5.5,5,NA,0.662,Cannery,High,9276,159.9
D,1,Stress,35,5.5,5.5,NA,0.653,Coconut Point,High,6707,NA
D,1,Stress,35,6,5.5,NA,0.609,Faga'tele,Low,0,84.4
D,1,Stress,35,6,6,NA,0.643,Vatia,Low,640,81.4
D,2,Recovery,35,5.5,4,2.5,0.586,Faga'alu,Medium,910,193.9
D,2,Recovery,35,6,5,2,0.652,Coconut Point,High,6707,246.2
D,2,Recovery,35,6,5.5,1.5,0.625,Faga'tele,Low,0,238.4
D,2,Recovery,35,6,5.5,1.5,0.649,Vatia,Low,640,209.3
D,2,Recovery,35,6,5.5,4.5,0.666,Cannery,High,9276,208.2
D,2,Stress,35,5.5,4.5,NA,0.647,Faga'alu,Medium,910,155.2
D,2,Stress,35,5.5,4.5,NA,0.591,Faga'tele,Low,0,134.7
D,2,Stress,35,6,5.5,NA,0.628,Cannery,High,9276,143.3
D,2,Stress,35,6,5.5,NA,0.655,Coconut Point,High,6707,NA
D,2,Stress,35,6,6,NA,0.63,Vatia,Low,640,97.6
D,3,Recovery,35,5,4,2,0.619,Coconut Point,High,6707,237.4
D,3,Recovery,35,5.5,5,2.5,0.632,Vatia,Low,640,183
D,3,Recovery,35,5.5,5.5,2,0.575,Faga'tele,Low,0,241.1
D,3,Recovery,35,6,5.5,2,0.656,Cannery,High,9276,212.4
D,3,Recovery,35,6,6,2,0.621,Faga'alu,Medium,910,186.6
D,3,Stress,35,5.5,3.5,NA,0.632,Coconut Point,High,6707,NA
D,3,Stress,35,6,5.5,NA,0.67,Cannery,High,9276,113.9
D,3,Stress,35,6,5.5,NA,0.62,Faga'alu,Medium,910,116.9
D,3,Stress,35,6,6,NA,0.657,Vatia,Low,640,119.5
D,3,Stress,35,6,6,NA,0.598,Faga'tele,Low,0,107.6
D,4,Recovery,35,5.5,5,2,0.598,Vatia,Low,640,213.1
D,4,Recovery,35,6,4,2,0.625,Faga'alu,Medium,910,207.9
D,4,Recovery,35,6,5.5,2,0.667,Coconut Point,High,6707,223.4
D,4,Recovery,35,6,6,2,0.614,Faga'tele,Low,0,223.5
D,4,Recovery,35,6,6,4.5,0.653,Cannery,High,9276,150.1
D,4,Stress,35,5.5,5,NA,0.627,Coconut Point,High,6707,NA
D,4,Stress,35,5.5,5.5,NA,0.627,Vatia,Low,640,139.1
D,4,Stress,35,6,5,NA,0.65,Faga'alu,Medium,910,136
D,4,Stress,35,6,6,NA,0.655,Cannery,High,9276,132
D,4,Stress,35,6,6,NA,0.554,Faga'tele,Low,0,125.2
D,5,Recovery,35,5,4.5,2,0.638,Coconut Point,High,6707,216.8
D,5,Recovery,35,5.5,5.5,2,0.649,Vatia,Low,640,216.1
D,5,Recovery,35,6,5.5,4,0.665,Cannery,High,9276,111
D,5,Recovery,35,6,6,2,0.601,Faga'alu,Medium,910,203.4
D,5,Recovery,35,6,6,4,0.616,Faga'tele,Low,0,170
D,5,Stress,35,5,4,NA,0.605,Coconut Point,High,6707,NA
D,5,Stress,35,6,5.5,NA,0.655,Vatia,Low,640,104.7
D,5,Stress,35,6,6,NA,0.64,Faga'alu,Medium,910,133.8
D,5,Stress,35,6,6,NA,0.654,Cannery,High,9276,106.5
D,5,Stress,35,6,6,NA,0.657,Faga'tele,Low,0,79.2
D,6,Recovery,35,5,5,1.5,0.649,Coconut Point,High,6707,239.3
D,6,Recovery,35,6,5.5,2,0.654,Cannery,High,9276,192.3
D,6,Recovery,35,6,5.5,2.5,0.637,Faga'alu,Medium,910,189.6
D,6,Recovery,35,6,6,2.5,0.651,Faga'tele,Low,0,227.3
D,6,Recovery,35,6,6,5,0.647,Vatia,Low,640,135.7
D,6,Stress,35,5,4,NA,0.654,Coconut Point,High,6707,NA
D,6,Stress,35,5.5,5,NA,0.597,Faga'alu,Medium,910,173.9
D,6,Stress,35,6,5.5,NA,0.658,Cannery,High,9276,98.3
D,6,Stress,35,6,6,NA,0.614,Faga'tele,Low,0,92.2
D,6,Stress,35,6,6,NA,0.632,Vatia,Low,640,81.9
D,7,Recovery,35,5,5,2,0.647,Vatia,Low,640,231
D,7,Recovery,35,6,5.5,3,0.625,Coconut Point,High,6707,208
D,7,Recovery,35,6,5.5,4,0.663,Cannery,High,9276,164.9
D,7,Recovery,35,6,5.5,1,0,Faga'alu,Medium,910,221.4
D,7,Recovery,35,6,6,2,0.611,Faga'tele,Low,0,250.5
D,7,Stress,35,5.5,5,NA,0.632,Coconut Point,High,6707,NA
D,7,Stress,35,5.5,5,NA,0.6,Vatia,Low,640,133.8
D,7,Stress,35,6,5,NA,0.582,Faga'alu,Medium,910,147.1
D,7,Stress,35,6,5.5,NA,0.617,Faga'tele,Low,0,105.2
D,7,Stress,35,6,6,NA,0.657,Cannery,High,9276,119.6
D,8,Recovery,35,5,5,3.5,0.64,Coconut Point,High,6707,217.2
D,8,Recovery,35,6,5.5,2,0.647,Faga'alu,Medium,910,201.3
D,8,Recovery,35,6,6,3,0.617,Faga'tele,Low,0,220.5
D,8,Recovery,35,6,6,4.5,0.638,Vatia,Low,640,179.9
D,8,Recovery,35,6,6,5,0.65,Cannery,High,9276,139.8
D,8,Stress,35,5.5,5,NA,0.565,Cannery,High,9276,128.5
D,8,Stress,35,5.5,5,NA,0.647,Coconut Point,High,6707,NA
D,8,Stress,35,5.5,5.5,NA,0.665,Vatia,Low,640,103.9
D,8,Stress,35,6,5.5,NA,0.61,Faga'alu,Medium,910,115.7
D,8,Stress,35,6,6,NA,0.619,Faga'tele,Low,0,116.4
E,1,Recovery,28,5.5,5,5,0.62,Coconut Point,High,6707,140.2
E,1,Recovery,28,5.5,5.5,5,0.656,Faga'tele,Low,0,162.1
E,1,Recovery,28,5.5,5.5,5,0.623,Faga'alu,Medium,910,158.1
E,1,Recovery,28,6,6,5,0.615,Cannery,High,9276,153.5
E,1,Recovery,28,6,6,5,0.616,Vatia,Low,640,164.4
E,1,Stress,28,5.5,5,NA,NA,Coconut Point,High,6707,NA
E,1,Stress,28,5.5,6,NA,NA,Vatia,Low,640,89.3
E,1,Stress,28,6,5.5,NA,NA,Cannery,High,9276,118.3
E,1,Stress,28,6,6,NA,NA,Faga'alu,Medium,910,123.5
E,1,Stress,28,6,6,NA,NA,Faga'tele,Low,0,114.1
E,2,Recovery,28,5,4.5,4.5,0.599,Faga'alu,Medium,910,164.9
E,2,Recovery,28,5.5,5,5,0.627,Coconut Point,High,6707,169.6
E,2,Recovery,28,5.5,6,5,0.662,Vatia,Low,640,189.2
E,2,Recovery,28,6,6,5,0.624,Cannery,High,9276,141.3
E,2,Recovery,28,6,6,6,0.651,Faga'tele,Low,0,150.8
E,2,Stress,28,5,4,NA,NA,Faga'alu,Medium,910,181.6
E,2,Stress,28,5.5,5.5,NA,NA,Vatia,Low,640,122.5
E,2,Stress,28,6,5.5,NA,NA,Faga'tele,Low,0,90
E,2,Stress,28,6,6,NA,NA,Cannery,High,9276,107.4
E,2,Stress,28,6,6,NA,NA,Coconut Point,High,6707,NA
E,3,Recovery,28,6,6,4.5,0.66,Coconut Point,High,6707,211.2
E,3,Recovery,28,6,6,5,0.624,Vatia,Low,640,171.4
E,3,Recovery,28,6,6,5.5,0.62,Faga'tele,Low,0,184.9
E,3,Recovery,28,6,6,5.5,0.679,Faga'alu,Medium,910,154.9
E,3,Recovery,28,6,6,6,0.681,Cannery,High,9276,81.3
E,3,Stress,28,6,4.5,NA,NA,Coconut Point,High,6707,NA
E,3,Stress,28,6,5.5,NA,NA,Faga'alu,Medium,910,116.9
E,3,Stress,28,6,6,NA,NA,Cannery,High,9276,108.5
E,3,Stress,28,6,6,NA,NA,Faga'tele,Low,0,49.9
E,3,Stress,28,6,6,NA,NA,Vatia,Low,640,117.7
E,4,Recovery,28,6,5.5,5,0.617,Faga'tele,Low,0,178.4
E,4,Recovery,28,6,5.5,5.5,0.663,Coconut Point,High,6707,172.6
E,4,Recovery,28,6,6,4,0.661,Faga'alu,Medium,910,185.3
E,4,Recovery,28,6,6,4.5,0.609,Vatia,Low,640,167.8
E,4,Recovery,28,6,6,6,0.666,Cannery,High,9276,135.6
E,4,Stress,28,5.5,5.5,NA,NA,Coconut Point,High,6707,NA
E,4,Stress,28,5.5,6,NA,NA,Vatia,Low,640,93
E,4,Stress,28,6,5.5,NA,NA,Faga'alu,Medium,910,156.5
E,4,Stress,28,6,6,NA,NA,Cannery,High,9276,98.8
E,4,Stress,28,6,6,NA,NA,Faga'tele,Low,0,119.2
E,5,Recovery,28,6,5.5,5,0.636,Faga'alu,Medium,910,148
