"","Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","Field","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
"53",6,"Recovery","Coconut Point","High",6707,48.8,"1",209.3,167.1,194.3,239.3,NA,30,-15,-42.2
"54",6,"Recovery","Coconut Point","High",6707,48.8,"2",85.6,179.3,235.5,231,NA,145.4,149.9,93.7
"55",6,"Recovery","Faga'alu","Medium",910,6.7,"1",153,185.2,190.7,189.6,NA,36.6,37.7,32.2
"56",6,"Recovery","Faga'alu","Medium",910,6.7,"2",159,164.8,202.9,199.9,NA,40.9,43.9,5.80000000000001
"57",6,"Recovery","Faga'tele","Low",0,0.3,"1",165.6,176.8,233.9,227.3,NA,61.7,68.3,11.2
"58",6,"Recovery","Faga'tele","Low",0,0.3,"2",165.2,200.3,230,239.2,NA,74,64.8,35.1
"59",6,"Recovery","Vatia","Low",640,4.1,"1",114.5,164,168.4,135.7,NA,21.2,53.9,49.5
"60",6,"Recovery","Vatia","Low",640,4.1,"2",153.4,147,161.1,128.6,NA,-24.8,7.69999999999999,-6.40000000000001
"61",7,"Recovery","Cannery","High",9276,5.4,"1",125.5,165,129.2,164.9,NA,39.4,3.69999999999999,39.5
"62",7,"Recovery","Cannery","High",9276,5.4,"2",131.1,68.4,200.1,223.6,NA,92.5,69,-62.7
"63",7,"Recovery","Coconut Point","High",6707,48.8,"1",181.5,220.2,230,208,NA,26.5,48.5,38.7
"64",7,"Recovery","Coconut Point","High",6707,48.8,"2",222,237,231.4,238.9,NA,16.9,9.40000000000001,15
"65",7,"Recovery","Faga'alu","Medium",910,6.7,"1",152.1,213.8,207.7,221.4,NA,69.3,55.6,61.7
"66",7,"Recovery","Faga'alu","Medium",910,6.7,"2",171.6,179,235.6,204.3,NA,32.7,64,7.40000000000001
"67",7,"Recovery","Faga'tele","Low",0,0.3,"1",154.2,182.6,214.3,250.5,NA,96.3,60.1,28.4
"68",7,"Recovery","Faga'tele","Low",0,0.3,"2",123.7,177.2,247.8,216,NA,92.3,124.1,53.5
"69",7,"Recovery","Vatia","Low",640,4.1,"1",175.5,240.2,222.6,231,NA,55.5,47.1,64.7
"70",7,"Recovery","Vatia","Low",640,4.1,"2",178.1,136.1,210.4,241.3,NA,63.2,32.3,-42
"71",8,"Recovery","Cannery","High",9276,5.4,"1",99.8,104.2,206.4,139.8,NA,40,106.6,4.40000000000001
"72",8,"Recovery","Cannery","High",9276,5.4,"2",97.1,159.3,174.8,215.4,NA,118.3,77.7,62.2
"73",8,"Recovery","Coconut Point","High",6707,48.8,"1",137.2,186.4,176.3,217.2,NA,80,39.1,49.2
"74",8,"Recovery","Coconut Point","High",6707,48.8,"2",157.2,167.7,207.9,167,NA,9.80000000000001,50.7,10.5
"75",8,"Recovery","Faga'alu","Medium",910,6.7,"1",146.8,216.5,190.9,201.3,NA,54.5,44.1,69.7
"76",8,"Recovery","Faga'alu","Medium",910,6.7,"2",175.8,190.9,212.5,144.6,NA,-31.2,36.7,15.1
"77",8,"Recovery","Faga'tele","Low",0,0.3,"1",151,245.3,201.5,220.5,NA,69.5,50.5,94.3
"78",8,"Recovery","Faga'tele","Low",0,0.3,"2",207.6,228.7,209.7,212.5,NA,4.90000000000001,2.09999999999999,21.1
"79",8,"Recovery","Vatia","Low",640,4.1,"1",155.9,200.4,168.4,179.9,NA,24,12.5,44.5
"80",8,"Recovery","Vatia","Low",640,4.1,"2",167.7,135.6,202.6,200.4,NA,32.7,34.9,-32.1
