"","Tank","Colony","Time.point","Ramp","Coral.Watch.Color1","Coral.Watch.Color2","Coral.Watch.Color3","PAM..Fv.Fm.","Site","LBSP","pop2016","DIN","AverageRed"
"86","B",1,"Stress","33","5","5",NA,"0.62","Vatia","Low","640","4.1",88.3
"87","B",1,"Stress","33","5.5","5.5",NA,"0.648","Coconut Point","High","6707","48.8",NA
"88","B",1,"Stress","33","6","5",NA,"0.627","Cannery","High","9276","5.4",100.4
"89","B",1,"Stress","33","6","5.5",NA,"0.52","Faga'alu","Medium","910","6.7",153.1
"90","B",1,"Stress","33","6","6",NA,"0.622","Faga'tele","Low","0","0.3",66.2
"91","B",2,"Recovery","33","5.5","5","3.5","0.633","Faga'alu","Medium","910","6.7",177.4
"92","B",2,"Recovery","33","6","5","3.5","0.598","Coconut Point","High","6707","48.8",201.5
"93","B",2,"Recovery","33","6","5.5","3.5","0.633","Cannery","High","9276","5.4",206.3
"94","B",2,"Recovery","33","6","6","2","0.64","Vatia","Low","640","4.1",228.2
"95","B",2,"Recovery","33","6","6","2.5","0.645","Faga'tele","Low","0","0.3",211
"96","B",2,"Stress","33","5.5","4.5",NA,"0.658","Coconut Point","High","6707","48.8",NA
"97","B",2,"Stress","33","5.5","5",NA,"0.629","Faga'alu","Medium","910","6.7",156.7
"98","B",2,"Stress","33","6","5.5",NA,"0.672","Cannery","High","9276","5.4",114.5
"99","B",2,"Stress","33","6","6",NA,"0.617","Vatia","Low","640","4.1",75.3
"100","B",2,"Stress","33","6","6",NA,"0.637","Faga'tele","Low","0","0.3",95
"101","B",3,"Recovery","33","5","3.5","3.5","0.64","Coconut Point","High","6707","48.8",214.8
"102","B",3,"Recovery","33","6","5.5","2","0.631","Faga'alu","Medium","910","6.7",227.9
"103","B",3,"Recovery","33","6","6","2","0.654","Vatia","Low","640","4.1",237.4
"104","B",3,"Recovery","33","6","6","3","0.618","Faga'tele","Low","0","0.3",232.1
"105","B",3,"Recovery","33","6","6","5.5","0.633","Cannery","High","9276","5.4",149.8
"106","B",3,"Stress","33","5","5",NA,"0.634","Vatia","Low","640","4.1",153.2
"107","B",3,"Stress","33","5.5","4.5",NA,"0.629","Coconut Point","High","6707","48.8",NA
"108","B",3,"Stress","33","5.5","5.5",NA,"0.658","Cannery","High","9276","5.4",125.9
"109","B",3,"Stress","33","6","6",NA,"0.61","Faga'tele","Low","0","0.3",84
"110","B",3,"Stress","33","6","6",NA,"0.673","Faga'alu","Medium","910","6.7",120.7
"111","B",4,"Recovery","33","5.5","5.5","3","0.576","Vatia","Low","640","4.1",186.5
"112","B",4,"Recovery","33","5.5","5.5","3.5","0.645","Coconut Point","High","6707","48.8",230.6
"113","B",4,"Recovery","33","6","5.5","4.5","0.586","Cannery","High","9276","5.4",193.2
"114","B",4,"Recovery","33","6","6","2","0.662","Faga'alu","Medium","910","6.7",227.2
"115","B",4,"Recovery","33","6","6","4.5","0.612","Faga'tele","Low","0","0.3",214.6
"116","B",4,"Stress","33","5.5","5",NA,"0.659","Faga'alu","Medium","910","6.7",153.7
"117","B",4,"Stress","33","5.5","5",NA,"0.605","Vatia","Low","640","4.1",126.6
"118","B",4,"Stress","33","6","4.5",NA,"0.667","Coconut Point","High","6707","48.8",NA
"119","B",4,"Stress","33","6","6",NA,"0.668","Cannery","High","9276","5.4",98.7
"120","B",4,"Stress","33","6","6",NA,"0.637","Faga'tele","Low","0","0.3",94.5
"121","B",5,"Recovery","33","5","5","4","0.625","Cannery","High","9276","5.4",189
"122","B",5,"Recovery","33","6","5.5","2.5","0.655","Vatia","Low","640","4.1",214.5
"123","B",5,"Recovery","33","6","6","4.5","0.645","Faga'tele","Low","0","0.3",151.9
"124","B",5,"Recovery","33","6","6","4.5","0.613","Faga'alu","Medium","910","6.7",149.5
"125","B",5,"Recovery","33","4.5","4.5","3.5","0.65","Coconut Point","High","6707","48.8",193.9
"126","B",5,"Stress","33","5.5","5.5",NA,"0.596","Faga'alu","Medium","910","6.7",150
"127","B",5,"Stress","33","6","5.5",NA,"0.667","Cannery","High","9276","5.4",109.2
"128","B",5,"Stress","33","6","6",NA,"0.658","Vatia","Low","640","4.1",76.2
"129","B",5,"Stress","33","6","6",NA,"0.616","Faga'tele","Low","0","0.3",100.3
"130","B",5,"Stress","33","4.5","3.5",NA,"0.647","Coconut Point","High","6707","48.8",NA
"131","B",6,"Recovery","33","5.5","5.5","2.5","0.605","Faga'alu","Medium","910","6.7",185.2
"132","B",6,"Recovery","33","6","5","3.5","0.648","Coconut Point","High","6707","48.8",167.1
"133","B",6,"Recovery","33","6","5.5","5","0.61","Vatia","Low","640","4.1",164
"134","B",6,"Recovery","33","6","6","4","0.608","Faga'tele","Low","0","0.3",176.8
"135","B",6,"Recovery","33","6","6","4.5","0.676","Cannery","High","9276","5.4",143.1
"136","B",6,"Stress","33","5","4",NA,"0.632","Coconut Point","High","6707","48.8",NA
"137","B",6,"Stress","33","6","5",NA,"0.667","Cannery","High","9276","5.4",145.9
"138","B",6,"Stress","33","6","5.5",NA,"0.663","Faga'alu","Medium","910","6.7",146
"139","B",6,"Stress","33","6","6",NA,"0.629","Faga'tele","Low","0","0.3",67.3
"140","B",6,"Stress","33","6","6",NA,"0.664","Vatia","Low","640","4.1",60.2
"141","B",7,"Recovery","33","5.5","5","2","0.627","Vatia","Low","640","4.1",240.2
"142","B",7,"Recovery","33","5.5","5.5","4","0.653","Cannery","High","9276","5.4",165
"143","B",7,"Recovery","33","6","5.5","1.5","0.666","Faga'alu","Medium","910","6.7",213.8
"144","B",7,"Recovery","33","6","5.5","2.5","0.631","Coconut Point","High","6707","48.8",220.2
"145","B",7,"Recovery","33","6","6","4","0.57","Faga'tele","Low","0","0.3",182.6
"146","B",7,"Stress","33","5.5","5",NA,"0.65","Vatia","Low","640","4.1",112.1
"147","B",7,"Stress","33","5.5","5",NA,"0.646","Faga'alu","Medium","910","6.7",154.2
"148","B",7,"Stress","33","5.5","5.5",NA,"0.621","Faga'tele","Low","0","0.3",85.7
"149","B",7,"Stress","33","6","5.5",NA,"0.633","Coconut Point","High","6707","48.8",NA
"150","B",7,"Stress","33","6","6",NA,"0.669","Cannery","High","9276","5.4",130.1
"151","B",8,"Recovery","33","5","5","2.5","0.644","Vatia","Low","640","4.1",200.4
"152","B",8,"Recovery","33","5.5","5.5","5","0.63","Cannery","High","9276","5.4",104.2
"153","B",8,"Recovery","33","5.5","3.5","3.5","0.557","Coconut Point","High","6707","48.8",186.4
"154","B",8,"Recovery","33","6","5","2","0.651","Faga'alu","Medium","910","6.7",216.5
"155","B",8,"Recovery","33","6","6","2.5","0.653","Faga'tele","Low","0","0.3",245.3
"156","B",8,"Stress","33","5","3.5",NA,"0.588","Coconut Point","High","6707","48.8",NA
"157","B",8,"Stress","33","6","5.5",NA,"0.651","Faga'alu","Medium","910","6.7",127.8
"158","B",8,"Stress","33","6","6",NA,"0.652","Cannery","High","9276","5.4",73.7
"159","B",8,"Stress","33","6","6",NA,"0.575","Vatia","Low","640","4.1",78.4
"160","B",8,"Stress","33","6","6",NA,"0.634","Faga'tele","Low","0","0.3",82.5
"161","C",1,"Recovery","34","5.5","4.5","2","0.677","Cannery","High","9276","5.4",208.9
"162","C",1,"Recovery","34","5.5","5","3.5","0.605","Faga'alu","Medium","910","6.7",196.5
"163","C",1,"Recovery","34","5.5","5.5","2.5","0.668","Coconut Point","High","6707","48.8",173.5
"164","C",1,"Recovery","34","5.5","5.5","4.5","0.612","Vatia","Low","640","4.1",189.2
"165","C",1,"Recovery","34","6","6","1.5","0.587","Faga'tele","Low","0","0.3",246.2
"166","C",1,"Stress","34","5","4",NA,"0.638","Coconut Point","High","6707","48.8",NA
"167","C",1,"Stress","34","6","6",NA,"0.611","Faga'alu","Medium","910","6.7",113.5
"168","C",1,"Stress","34","6","6",NA,"0.638","Cannery","High","9276","5.4",101.6
"169","C",1,"Stress","34","6","6",NA,"0.66","Vatia","Low","640","4.1",106.6
"170","C",1,"Stress","34","6","6",NA,"0.605","Faga'tele","Low","0","0.3",136
"171","C",2,"Recovery","34","5.5","4.5","2","0.656","Coconut Point","High","6707","48.8",229.3
"172","C",2,"Recovery","34","6","5.5","3.5","0.611","Cannery","High","9276","5.4",212.4
"173","C",2,"Recovery","34","6","6","2.5","0.615","Vatia","Low","640","4.1",216.5
"174","C",2,"Recovery","34","6","6","2.5","0.629","Faga'tele","Low","0","0.3",241.6
"175","C",2,"Recovery","34","3.5","3","2.5","0.524","Faga'alu","Medium","910","6.7",208.7
"176","C",2,"Stress","34","6","5",NA,"0.636","Faga'alu","Medium","910","6.7",125.1
"177","C",2,"Stress","34","6","5.5",NA,"0.658","Cannery","High","9276","5.4",121.6
"178","C",2,"Stress","34","6","5.5",NA,"0.661","Coconut Point","High","6707","48.8",NA
"179","C",2,"Stress","34","6","6",NA,"0.641","Vatia","Low","640","4.1",61.5
"180","C",2,"Stress","34","6","6",NA,"0.594","Faga'tele","Low","0","0.3",111.9
"181","C",3,"Recovery","34","5.5","5","3","0.635","Vatia","Low","640","4.1",221.5
"182","C",3,"Recovery","34","6","5","3","0.628","Coconut Point","High","6707","48.8",182.9
"183","C",3,"Recovery","34","6","5","3.5","0.622","Faga'alu","Medium","910","6.7",166.4
"184","C",3,"Recovery","34","6","6","4","0.611","Faga'tele","Low","0","0.3",205.9
"185","C",3,"Recovery","34","6","6","4.5","0.671","Cannery","High","9276","5.4",145.9
"186","C",3,"Stress","34","5","3.5",NA,"0.638","Coconut Point","High","6707","48.8",NA
"187","C",3,"Stress","34","5.5","5.5",NA,"0.626","Vatia","Low","640","4.1",136
"188","C",3,"Stress","34","6","5.5",NA,"0.659","Cannery","High","9276","5.4",105.8
"189","C",3,"Stress","34","6","5.5",NA,"0.603","Faga'alu","Medium","910","6.7",122.4
"190","C",3,"Stress","34","6","6",NA,"0.58","Faga'tele","Low","0","0.3",93.6
"191","C",4,"Recovery","34","5","4","2","0.615","Faga'alu","Medium","910","6.7",205
"192","C",4,"Recovery","34","5","5","3","0.568","Faga'tele","Low","0","0.3",222.4
"193","C",4,"Recovery","34","6","6","2.5","0.659","Cannery","High","9276","5.4",213.9
"194","C",4,"Recovery","34","6","6","2.5","0.671","Coconut Point","High","6707","48.8",200.8
"195","C",4,"Recovery","34","6","6","3","0.634","Vatia","Low","640","4.1",190
"196","C",4,"Stress","34","5","5",NA,"0.593","Coconut Point","High","6707","48.8",NA
"197","C",4,"Stress","34","5","5",NA,"0.62","Vatia","Low","640","4.1",151
"198","C",4,"Stress","34","5.5","5",NA,"0.629","Faga'tele","Low","0","0.3",156.4
"199","C",4,"Stress","34","5.5","5",NA,"0.642","Faga'alu","Medium","910","6.7",160.2
"200","C",4,"Stress","34","6","5.5",NA,"0.661","Cannery","High","9276","5.4",107.5
"201","C",5,"Recovery","34","5","5","2.5","0.638","Coconut Point","High","6707","48.8",194
"202","C",5,"Recovery","34","6","5.5","2.5","0.662","Vatia","Low","640","4.1",197.8
"203","C",5,"Recovery","34","6","6","2.5","0.663","Cannery","High","9276","5.4",164.9
"204","C",5,"Recovery","34","6","6","3.5","0.613","Faga'alu","Medium","910","6.7",180.6
"205","C",5,"Recovery","34","6","6","4","0.623","Faga'tele","Low","0","0.3",199.2
"206","C",5,"Stress","34","6","5",NA,"0.608","Faga'alu","Medium","910","6.7",127.6
"207","C",5,"Stress","34","6","5.5",NA,"0.671","Cannery","High","9276","5.4",98.8
"208","C",5,"Stress","34","6","6",NA,"0.611","Vatia","Low","640","4.1",72.2
"209","C",5,"Stress","34","6","6",NA,"0.609","Faga'tele","Low","0","0.3",95.1
"210","C",5,"Stress","34","4.5","4",NA,"0.631","Coconut Point","High","6707","48.8",NA
"211","C",6,"Recovery","34","5.5","4.5","2","0.641","Cannery","High","9276","5.4",220
"212","C",6,"Recovery","34","5.5","5.5","2","0.659","Coconut Point","High","6707","48.8",194.3
"213","C",6,"Recovery","34","6","5.5","3","0.624","Faga'alu","Medium","910","6.7",190.7
"214","C",6,"Recovery","34","6","5.5","3","0.646","Faga'tele","Low","0","0.3",233.9
"215","C",6,"Recovery","34","6","5.5","4.5","0.657","Vatia","Low","640","4.1",168.4
"216","C",6,"Stress","34","6","5",NA,"0.626","Cannery","High","9276","5.4",157.2
"217","C",6,"Stress","34","6","5.5",NA,"0.61","Vatia","Low","640","4.1",103.9
"218","C",6,"Stress","34","6","5.5",NA,"0.648","Faga'alu","Medium","910","6.7",139.9
"219","C",6,"Stress","34","6","6",NA,"0.621","Faga'tele","Low","0","0.3",74.9
"220","C",6,"Stress","34","4.5","5",NA,"0.624","Coconut Point","High","6707","48.8",NA
"221","C",7,"Recovery","34","6","5.5","2.5","0.594","Vatia","Low","640","4.1",222.6
"222","C",7,"Recovery","34","6","5.5","3","0.631","Coconut Point","High","6707","48.8",230
"223","C",7,"Recovery","34","6","6","3.5","0.669","Faga'alu","Medium","910","6.7",207.7
"224","C",7,"Recovery","34","6","6","4","0.627","Faga'tele","Low","0","0.3",214.3
"225","C",7,"Recovery","34","6","6","5.5","0.636","Cannery","High","9276","5.4",129.2
"226","C",7,"Stress","34","5","4.5",NA,"0.6","Vatia","Low","640","4.1",141.1
"227","C",7,"Stress","34","5","5",NA,"0.619","Faga'alu","Medium","910","6.7",169.6
"228","C",7,"Stress","34","5.5","5.5",NA,"0.632","Faga'tele","Low","0","0.3",100.5
"229","C",7,"Stress","34","6","5",NA,"0.647","Coconut Point","High","6707","48.8",NA
"230","C",7,"Stress","34","6","5.5",NA,"0.644","Cannery","High","9276","5.4",144.6
"231","C",8,"Recovery","34","5.5","5","3.5","0.61","Coconut Point","High","6707","48.8",176.3
"232","C",8,"Recovery","34","6","5.5","2.5","0.59","Cannery","High","9276","5.4",206.4
"233","C",8,"Recovery","34","6","5.5","4","0.669","Vatia","Low","640","4.1",168.4
"234","C",8,"Recovery","34","6","6","3","0.621","Faga'alu","Medium","910","6.7",190.9
"235","C",8,"Recovery","34","6","6","4.5","0.625","Faga'tele","Low","0","0.3",201.5
"236","C",8,"Stress","34","5.5","5",NA,"0.623","Vatia","Low","640","4.1",83.2
"237","C",8,"Stress","34","6","5.5",NA,"0.658","Coconut Point","High","6707","48.8",NA
"238","C",8,"Stress","34","6","5.5",NA,"0.57","Faga'alu","Medium","910","6.7",143.5
"239","C",8,"Stress","34","6","6",NA,"0.628","Cannery","High","9276","5.4",84.7
"240","C",8,"Stress","34","6","6",NA,"0.597","Faga'tele","Low","0","0.3",112.1
"241","D",1,"Recovery","35","5","5.5","2","0.645","Vatia","Low","640","4.1",222.5
"242","D",1,"Recovery","35","5.5","4.5","1","0.547","Faga'tele","Low","0","0.3",247.1
"243","D",1,"Recovery","35","5.5","5","2","0.63","Faga'alu","Medium","910","6.7",219.2
"244","D",1,"Recovery","35","5.5","5.5","2.5","0.655","Coconut Point","High","6707","48.8",205.9
"245","D",1,"Recovery","35","6","6","2.5","0.64","Cannery","High","9276","5.4",171.9
"246","D",1,"Stress","35","5.5","5",NA,"0.644","Faga'alu","Medium","910","6.7",153
"247","D",1,"Stress","35","5.5","5",NA,"0.662","Cannery","High","9276","5.4",159.9
"248","D",1,"Stress","35","5.5","5.5",NA,"0.653","Coconut Point","High","6707","48.8",NA
"249","D",1,"Stress","35","6","5.5",NA,"0.609","Faga'tele","Low","0","0.3",84.4
"250","D",1,"Stress","35","6","6",NA,"0.643","Vatia","Low","640","4.1",81.4
"251","D",2,"Recovery","35","5.5","4","2.5","0.586","Faga'alu","Medium","910","6.7",193.9
"252","D",2,"Recovery","35","6","5","2","0.652","Coconut Point","High","6707","48.8",246.2
"253","D",2,"Recovery","35","6","5.5","1.5","0.625","Faga'tele","Low","0","0.3",238.4
"254","D",2,"Recovery","35","6","5.5","1.5","0.649","Vatia","Low","640","4.1",209.3
"255","D",2,"Recovery","35","6","5.5","4.5","0.666","Cannery","High","9276","5.4",208.2
"256","D",2,"Stress","35","5.5","4.5",NA,"0.647","Faga'alu","Medium","910","6.7",155.2
"257","D",2,"Stress","35","5.5","4.5",NA,"0.591","Faga'tele","Low","0","0.3",134.7
"258","D",2,"Stress","35","6","5.5",NA,"0.628","Cannery","High","9276","5.4",143.3
"259","D",2,"Stress","35","6","5.5",NA,"0.655","Coconut Point","High","6707","48.8",NA
"260","D",2,"Stress","35","6","6",NA,"0.63","Vatia","Low","640","4.1",97.6
"261","D",3,"Recovery","35","5","4","2","0.619","Coconut Point","High","6707","48.8",237.4
"262","D",3,"Recovery","35","5.5","5","2.5","0.632","Vatia","Low","640","4.1",183
"263","D",3,"Recovery","35","5.5","5.5","2","0.575","Faga'tele","Low","0","0.3",241.1
"264","D",3,"Recovery","35","6","5.5","2","0.656","Cannery","High","9276","5.4",212.4
"265","D",3,"Recovery","35","6","6","2","0.621","Faga'alu","Medium","910","6.7",186.6
"266","D",3,"Stress","35","5.5","3.5",NA,"0.632","Coconut Point","High","6707","48.8",NA
"267","D",3,"Stress","35","6","5.5",NA,"0.67","Cannery","High","9276","5.4",113.9
"268","D",3,"Stress","35","6","5.5",NA,"0.62","Faga'alu","Medium","910","6.7",116.9
"269","D",3,"Stress","35","6","6",NA,"0.657","Vatia","Low","640","4.1",119.5
"270","D",3,"Stress","35","6","6",NA,"0.598","Faga'tele","Low","0","0.3",107.6
"271","D",4,"Recovery","35","5.5","5","2","0.598","Vatia","Low","640","4.1",213.1
"272","D",4,"Recovery","35","6","4","2","0.625","Faga'alu","Medium","910","6.7",207.9
"273","D",4,"Recovery","35","6","5.5","2","0.667","Coconut Point","High","6707","48.8",223.4
"274","D",4,"Recovery","35","6","6","2","0.614","Faga'tele","Low","0","0.3",223.5
"275","D",4,"Recovery","35","6","6","4.5","0.653","Cannery","High","9276","5.4",150.1
"276","D",4,"Stress","35","5.5","5",NA,"0.627","Coconut Point","High","6707","48.8",NA
"277","D",4,"Stress","35","5.5","5.5",NA,"0.627","Vatia","Low","640","4.1",139.1
"278","D",4,"Stress","35","6","5",NA,"0.65","Faga'alu","Medium","910","6.7",136
"279","D",4,"Stress","35","6","6",NA,"0.655","Cannery","High","9276","5.4",132
"280","D",4,"Stress","35","6","6",NA,"0.554","Faga'tele","Low","0","0.3",125.2
"281","D",5,"Recovery","35","5","4.5","2","0.638","Coconut Point","High","6707","48.8",216.8
"282","D",5,"Recovery","35","5.5","5.5","2","0.649","Vatia","Low","640","4.1",216.1
"283","D",5,"Recovery","35","6","5.5","4","0.665","Cannery","High","9276","5.4",111
"284","D",5,"Recovery","35","6","6","2","0.601","Faga'alu","Medium","910","6.7",203.4
"285","D",5,"Recovery","35","6","6","4","0.616","Faga'tele","Low","0","0.3",170
"286","D",5,"Stress","35","5","4",NA,"0.605","Coconut Point","High","6707","48.8",NA
"287","D",5,"Stress","35","6","5.5",NA,"0.655","Vatia","Low","640","4.1",104.7
"288","D",5,"Stress","35","6","6",NA,"0.64","Faga'alu","Medium","910","6.7",133.8
"289","D",5,"Stress","35","6","6",NA,"0.654","Cannery","High","9276","5.4",106.5
"290","D",5,"Stress","35","6","6",NA,"0.657","Faga'tele","Low","0","0.3",79.2
"291","D",6,"Recovery","35","5","5","1.5","0.649","Coconut Point","High","6707","48.8",239.3
"292","D",6,"Recovery","35","6","5.5","2","0.654","Cannery","High","9276","5.4",192.3
"293","D",6,"Recovery","35","6","5.5","2.5","0.637","Faga'alu","Medium","910","6.7",189.6
"294","D",6,"Recovery","35","6","6","2.5","0.651","Faga'tele","Low","0","0.3",227.3
"295","D",6,"Recovery","35","6","6","5","0.647","Vatia","Low","640","4.1",135.7
