"Colony","Time.point","Site","LBSP","pop2016","DIN","Rep","28","33","34","35","t35_normalizedto28","t34_normalizedto28","t33_normalizedto28"
5,"Recovery","Cannery","High",9276,5.4,"2",124.6,123.3,211.8,161.9,37.3,87.2,-1.3
5,"Recovery","Coconut Point","High",6707,48.8,"1",171.4,193.9,194,216.8,45.4,22.6,22.5
5,"Recovery","Coconut Point","High",6707,48.8,"2",170,167.8,231.2,203.8,33.8,61.2,-2.19999999999999
5,"Recovery","Faga'alu","Medium",910,6.7,"1",136.1,149.5,180.6,203.4,67.3,44.5,13.4
5,"Recovery","Faga'alu","Medium",910,6.7,"2",148,138.6,190.5,197.4,49.4,42.5,-9.40000000000001
5,"Recovery","Faga'tele","Low",0,0.3,"1",169,151.9,199.2,170,1,30.2,-17.1
5,"Recovery","Faga'tele","Low",0,0.3,"2",198,149.8,216.9,218.8,20.8,18.9,-48.2
5,"Recovery","Vatia","Low",640,4.1,"1",122.8,214.5,197.8,216.1,93.3,75,91.7
5,"Recovery","Vatia","Low",640,4.1,"2",161.9,193.2,204.4,179,17.1,42.5,31.3
6,"Recovery","Cannery","High",9276,5.4,"1",140.3,143.1,220,192.3,52,79.7,2.79999999999998
6,"Recovery","Cannery","High",9276,5.4,"2",173.4,181.9,193.8,193,19.6,20.4,8.5
6,"Recovery","Coconut Point","High",6707,48.8,"1",209.3,167.1,194.3,239.3,30,-15,-42.2
6,"Recovery","Coconut Point","High",6707,48.8,"2",85.6,179.3,235.5,231,145.4,149.9,93.7
6,"Recovery","Faga'alu","Medium",910,6.7,"1",153,185.2,190.7,189.6,36.6,37.7,32.2
6,"Recovery","Faga'alu","Medium",910,6.7,"2",159,164.8,202.9,199.9,40.9,43.9,5.80000000000001
6,"Recovery","Faga'tele","Low",0,0.3,"1",165.6,176.8,233.9,227.3,61.7,68.3,11.2
6,"Recovery","Faga'tele","Low",0,0.3,"2",165.2,200.3,230,239.2,74,64.8,35.1
6,"Recovery","Vatia","Low",640,4.1,"1",114.5,164,168.4,135.7,21.2,53.9,49.5
6,"Recovery","Vatia","Low",640,4.1,"2",153.4,147,161.1,128.6,-24.8,7.69999999999999,-6.40000000000001
7,"Recovery","Cannery","High",9276,5.4,"1",125.5,165,129.2,164.9,39.4,3.69999999999999,39.5
7,"Recovery","Cannery","High",9276,5.4,"2",131.1,68.4,200.1,223.6,92.5,69,-62.7
7,"Recovery","Coconut Point","High",6707,48.8,"1",181.5,220.2,230,208,26.5,48.5,38.7
7,"Recovery","Coconut Point","High",6707,48.8,"2",222,237,231.4,238.9,16.9,9.40000000000001,15
7,"Recovery","Faga'alu","Medium",910,6.7,"1",152.1,213.8,207.7,221.4,69.3,55.6,61.7
